"Data","Cota","Patrimônio","Capt Líq","Captação","Resg Total","Resgate","Resg IR","Q Cotistas","Fonte"
"31/07/2015","1925,118586","104564741,14",0,0,0,0,0,7,"ANBIMA"
"31/08/2015","1934,374031","105067459,85",0,0,0,0,0,7,"ANBIMA"
"30/09/2015","1934,374031","105067459,85",0,0,0,0,0,7,"ANBIMA"
"30/10/2015","1940,603091","105405797,48",0,0,0,0,0,7,"ANBIMA"
"30/11/2015","1769,656273","96120650,14",0,0,0,0,0,7,"ANBIMA"
"31/12/2015","1729,411393","93934709,2",0,0,0,0,0,7,"ANBIMA"
"29/01/2016","1725,657976","93730838,64",0,0,0,0,0,7,"ANBIMA"
"29/02/2016","1725,657976","93730838,64",0,0,0,0,0,7,"ANBIMA"
"31/03/2016","1722,862019","93578973,44",0,0,0,0,0,7,"ANBIMA"
"29/04/2016","1698,717846","92267558,54",0,0,0,0,0,7,"ANBIMA"
"31/05/2016","1704,007593","92554876,43",0,0,0,0,0,7,"ANBIMA"
"30/06/2016","6504,738734","353311389,09",0,0,0,0,0,7,"ANBIMA"
"29/07/2016","1700,263194","92351495,62",0,0,0,0,0,7,"ANBIMA"
"31/08/2016","1703,059177","92503362,27",0,0,0,0,0,7,"ANBIMA"
"30/09/2016","1697,54517","92203863,46",0,0,0,0,0,7,"ANBIMA"
"31/10/2016","1697,576104","92205543,65",0,0,0,0,0,7,"ANBIMA"
"30/11/2016","1700,38144","92357918,28",0,0,0,0,0,7,"ANBIMA"
"30/12/2016","1878,740975","102045694,82",0,0,0,0,0,7,"ANBIMA"
"31/01/2017","1877,471734","101976754,68",0,0,0,0,0,7,"ANBIMA"
"24/02/2017","1876,734301","101936700,32",0,0,0,0,0,7,"ANBIMA"
"31/03/2017","1861,974392","101135001,08",0,0,0,0,0,7,"ANBIMA"
"28/04/2017","1864,354409","101264274,09",0,0,0,0,0,7,"ANBIMA"
"31/05/2017","1864,168146",101254157,0,0,0,0,0,7,"ANBIMA"
"30/06/2017","1865,6151035","101332749,96",0,0,0,0,0,7,"ANBIMA"
"31/07/2017","1866,5779472","101385047,78",0,0,0,0,0,7,"ANBIMA"
