"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"30/08/2004",2,15,"29,85","0,59237054254","0,59237054254","0,59237054254","0,59237054254","0,59237054254"
"10/09/2004",3,700,1050,"0,4465104592","0,4465104592","0,4465104592","0,4465104592","0,4465104592"
"22/09/2004",2,107,"119,84","0,33567708035","0,33567708035","0,33567708035","0,33567708035","0,33567708035"
"04/10/2004",1,23,"25,76","0,33567708035","0,33567708035","0,33567708035","0,33567708035","0,33567708035"
"05/10/2004",1,3,"3,36","0,33567708035","0,33567708035","0,33567708035","0,33567708035","0,33567708035"
"14/10/2004",1,1000,900,"0,26974051099","0,26974051099","0,26974051099","0,26974051099","0,26974051099"
"21/10/2004",2,670,"589,6","0,26676966698","0,26676966698","0,26676966698","0,26676966698","0,26676966698"
"27/10/2004",1,1000,990,"0,30011587535","0,30011587535","0,30011587535","0,30011587535","0,30011587535"
"10/11/2004",2,6000,5400,"0,27283261395","0,27283261395","0,27283261395","0,27283261395","0,27283261395"
"18/11/2004",1,10000,8900,"0,27286327275","0,27286327275","0,27286327275","0,27286327275","0,27286327275"
"22/11/2004",3,10500,9450,"0,27592915222","0,27592915222","0,27592915222","0,27592915222","0,27592915222"
"24/11/2004",1,50,45,"0,27592915222","0,27592915222","0,27592915222","0,27592915222","0,27592915222"
"26/11/2004",2,20000,18000,"0,27592915222","0,27592915222","0,27592915222","0,27592915222","0,27592915222"
"01/12/2004",3,20500,18460,"0,27592915222","0,28206091115","0,27592915222","0,28206091115","0,27592915222"
"02/12/2004",1,10000,9200,"0,28206091115","0,28206091115","0,28206091115","0,28206091115","0,28206091115"
"03/12/2004",1,10000,9200,"0,28206091115","0,28206091115","0,28206091115","0,28206091115","0,28206091115"
"07/12/2004",1,3000,2760,"0,28206091115","0,28206091115","0,28206091115","0,28206091115","0,28206091115"
"20/12/2004",4,20000,18600,"0,28832341984","0,28832341984","0,28832341984","0,28832341984","0,28832341984"
"22/12/2004",2,508,"472,44","0,28832341984","0,28832341984","0,28832341984","0,28832341984","0,28832341984"
"07/01/2005",1,1000,930,"0,28832341984","0,28832341984","0,28832341984","0,28832341984","0,28832341984"
"17/01/2005",1,26,"24,18","0,29152074413","0,29152074413","0,29152074413","0,29152074413","0,29152074413"
"27/01/2005",1,10000,9000,"0,28211684916","0,28211684916","0,28211684916","0,28211684916","0,28211684916"
"04/02/2005",1,116,"104,4","0,28211684916","0,28211684916","0,28211684916","0,28211684916","0,28211684916"
"10/02/2005",3,10007,"9006,3","0,28211684916","0,28211684916","0,28211684916","0,28211684916","0,28211684916"
"22/02/2005",2,20500,18040,"0,27900969573","0,27900969573","0,27900969573","0,27900969573","0,27900969573"
"24/02/2005",1,500,435,"0,27583913101","0,27583913101","0,27583913101","0,27583913101","0,27583913101"
"25/02/2005",1,500,430,"0,27266856628","0,27266856628","0,27266856628","0,27266856628","0,27266856628"
"28/02/2005",1,500,420,"0,26632743684","0,26632743684","0,26632743684","0,26632743684","0,26632743684"
"12/04/2005",1,14,"10,5","0,23898729077","0,23898729077","0,23898729077","0,23898729077","0,23898729077"
"13/04/2005",1,4000,3000,"0,23898729077","0,23898729077","0,23898729077","0,23898729077","0,23898729077"
"02/05/2005",1,1000,720,"0,23071983019","0,23071983019","0,23071983019","0,23071983019","0,23071983019"
"03/05/2005",1,1000,700,"0,22431094602","0,22431094602","0,22431094602","0,22431094602","0,22431094602"
"12/05/2005",1,1000,680,"0,21790206185","0,21790206185","0,21790206185","0,21790206185","0,21790206185"
"13/05/2005",1,51,"35,19","0,22110650393","0,22110650393","0,22110650393","0,22110650393","0,22110650393"
"16/05/2005",2,7000,4620,"0,21300582775","0,21300582775","0,21300582775","0,21300582775","0,21300582775"
"20/05/2005",1,909,"590,85","0,20977846673","0,20977846673","0,20977846673","0,20977846673","0,20977846673"
"24/05/2005",1,1000,630,"0,20332374467","0,20332374467","0,20332374467","0,20332374467","0,20332374467"
"30/05/2005",2,3000,1760,"0,18718693954","0,1936416616","0,18718693954","0,1936416616","0,19041430057"
"07/06/2005",4,8285,"4556,75","0,17750485646","0,17750485646","0,17750485646","0,17750485646","0,17750485646"
"10/06/2005",1,3000,1620,"0,17427749544","0,17427749544","0,17427749544","0,17427749544","0,17427749544"
"13/06/2005",2,7340,"3816,8","0,16782277338","0,16782277338","0,16782277338","0,16782277338","0,16782277338"
"14/06/2005",1,7915,"4036,65","0,16459541236","0,16459541236","0,16459541236","0,16459541236","0,16459541236"
"24/06/2005",2,10000,5000,"0,16299803165","0,16299803165","0,16299803165","0,16299803165","0,16299803165"
"22/07/2005",2,21000,9870,"0,15467206718","0,15467206718","0,15467206718","0,15467206718","0,15467206718"
"28/07/2005",1,13000,6110,"0,15467206718","0,15467206718","0,15467206718","0,15467206718","0,15467206718"
"10/08/2005",1,20000,9400,"0,15467206718","0,15467206718","0,15467206718","0,15467206718","0,15467206718"
"11/08/2005",1,8000,3760,"0,15467206718","0,15467206718","0,15467206718","0,15467206718","0,15467206718"
"15/08/2005",1,32000,15040,"0,15623441129","0,15623441129","0,15623441129","0,15623441129","0,15623441129"
"24/08/2005",2,23100,11550,"0,16620682052","0,16620682052","0,16620682052","0,16620682052","0,16620682052"
"31/08/2005",1,2000,1000,"0,16620682052","0,16620682052","0,16620682052","0,16620682052","0,16620682052"
"02/09/2005",1,42000,20160,"0,1595585477","0,1595585477","0,1595585477","0,1595585477","0,1595585477"
"12/09/2005",1,7,"3,36","0,1595585477","0,1595585477","0,1595585477","0,1595585477","0,1595585477"
"17/10/2005",8,84000,43460,"0,16781504807","0,18459655287","0,16781504807","0,18459655287","0,17452764999"
