"data","cota","patrimonio","numero de cotas"
"01/05/2012","309,2333","9277000,00",30000
"01/06/2012","328,7325","9861975,71",30000
"01/07/2012","344,85","10345498,91",30000
"01/08/2012","341,2897","10238690,92",30000
"01/09/2012","344,6864","10340591,86",30000
"01/10/2012","344,0871","10322613,49",30000
"01/11/2012","344,0871","10322613,49",30000
"01/12/2012","306,4194","9192580,63",30000
"01/01/2013","291,2507","8737520,04",30000
"01/02/2013","254,907","7647210,92",30000
"01/03/2013","240,2651","7207952,27",30000
"01/04/2013","227,3866","6821598,11",30000
"01/05/2013","218,8846","6566536,74",30000
"01/06/2013","208,9656","6268968,88",30000
"01/07/2013","182,2711","5468133,57",30000
"01/08/2013","170,2474","5107423,04",30000
"01/09/2013","435,0578","4542438,95",10441
"01/10/2013","410,4547","4285557,46",10441
"01/11/2013","381,7862","3986229,47",10441
"01/12/2013","359,4848","3753380,92",10441
"01/01/2014","332,9463","3476292,24",10441
"01/02/2014","290,109","3029028,32",10441
"01/03/2014","265,3531","2770551,97",10441
"01/04/2014","237,0758","2475308,87",10441
"01/05/2014","217,6484","2272467,27",10441
"01/06/2014","187,231","1954879,28",10441
"01/07/2014","499,4236","8810331,01",17641
"01/08/2014","488,6204","8619752,01",17641
"01/09/2014","581,7778","12939319,94",22241
"01/10/2014","573,0689","12745624,54",22241
"01/11/2014","562,2042","12503984,41",22241
"01/12/2014","646,1903","18378298,42",28441
"01/01/2015","643,0366","18288603,16",28441
"01/02/2015","661,3358","20131723,05",30441
"01/03/2015","678,9914","21755562,95",32041
"01/04/2015","681,6904","21842041,50",32041
"01/05/2015","700,3724","23841378,28",34041
"01/06/2015","704,29","23974736,05",34041
"01/07/2015",,,
"01/08/2015","703,1678","23936536,10",34041
"01/09/2015","685,6123","23338929,85",34041
"01/10/2015","680,8067","23175340,64",34041
"01/11/2015","676,3525","23023714,59",34041
"01/12/2015","672,5369","22893829,44",34041
"01/01/2016","670,6641","22830075,72",34041
"01/02/2016","684,572","25357233,01",37041
"01/03/2016","684,572","25357233,01",37041
"01/04/2016","681,1544","27042510,78",39701
"01/05/2016","678,8096","26949419,00",39701
"01/06/2016","673,1634","26725259,11",39701
"01/07/2016","670,1338","26604983,27",39701
"01/08/2016","666,6810","26467903,06",39701
"01/09/2016","661,7343","26271515,25",39701
"01/10/2016","728,07","36403434,15",50000
"01/11/2016","725,970145","36298507,26",50000
"01/12/2016","722,561547","36128077,36",50000
"01/01/2017","720,022839","36001141,96",50000
"01/02/2017","717,985919","35899295,95",50000
"01/03/2017","716,638666","35831933,28",50000
"01/04/2017","715,019386","35750969,31",50000
"01/05/2017","713,099541","35654977,05",50000
"01/06/2017","711,354242","35567712,12",50000
"01/07/2017","707,497688","35374884,39",50000
"01/08/2017","701,963200","35098160,02",50000
