"Data","Cota","Patrimônio","CaptLíq","Captação","ResgTotal","Resgate","ResgIR","QCotistas","Fonte"
"30/04/2014","1014,7892087","60808418,58","1513721,72","1513721,72",0,0,0,13,"ANBIMA"
"30/05/2014","1020,9867076","62805571,47",0,0,0,0,0,13,"ANBIMA"
"30/06/2014","1024,1621305","64197895,75",0,0,0,0,0,13,"ANBIMA"
"31/07/2014","1026,6447264","66373027,84","252473,8","252473,8",0,0,0,13,"ANBIMA"
"29/08/2014","1028,7251753","67016256,45","377726,16","377726,16",0,0,0,13,"ANBIMA"
"30/09/2014","1035,2945603","70932522,35","1123689,15","1123689,15",0,0,0,13,"ANBIMA"
"31/10/2014","1039,7398123","72565534,76",0,0,0,0,0,13,"ANBIMA"
"28/11/2014","1040,4022256","73864586,9","1050881,8","1050881,8",0,0,0,13,"ANBIMA"
"31/12/2014","1044,2126004","75193966,2",0,0,0,0,0,13,"ANBIMA"
"30/01/2015","1047,5022467","78914303,66",0,0,0,0,0,13,"ANBIMA"
"27/02/2015","1049,2983193","79287700,69","386297,3","386297,3",0,0,0,13,"ANBIMA"
"31/03/2015","1053,6529235","82347848,58","105482,69","105482,69",0,0,0,13,"ANBIMA"
"30/04/2015","1054,3588214","84311475,28","1364042,59","1364042,59",0,0,0,13,"ANBIMA"
"29/05/2015","1056,7549152","84886993,32",0,0,0,0,0,13,"ANBIMA"
"30/06/2015","1058,1047485","86469201,73",0,0,0,0,0,13,"ANBIMA"
"31/07/2015","1057,7374664","86439187,13",0,0,0,0,0,13,"ANBIMA"
"31/08/2015","1057,4165922","86412965,02",0,0,0,0,0,13,"ANBIMA"
"30/09/2015","1057,2793824","86496466,73",0,0,0,0,0,13,"ANBIMA"
"30/10/2015","1056,8681906","86462826,96",0,0,0,0,0,13,"ANBIMA"
"30/11/2015","1056,4718547","86430402,55",0,0,0,0,0,13,"ANBIMA"
"31/12/2015","1056,037593","86394875,42",0,0,0,0,0,13,"ANBIMA"
"27/01/2016","1055,897585","86383421,31",0,0,0,0,0,13,"ANBIMA"
"29/01/2016","1056,106797","86495146,68",0,0,0,0,0,13,"ANBIMA"
"29/02/2016","1055,9564026","86482829,38",0,0,0,0,0,13,"ANBIMA"
"09/03/2016","1055,8966235","86477933,47",0,0,0,0,0,13,"ANBIMA"
"31/03/2016","1055,7707025","86467620,54",0,0,0,0,0,13,"ANBIMA"
"29/04/2016","1055,6568818","86458298,62",0,0,0,0,0,13,"ANBIMA"
"31/05/2016","1055,4490746","86441279,21",0,0,0,0,0,13,"ANBIMA"
"30/06/2016","1055,2727776","86426840,49",0,0,0,0,0,13,"ANBIMA"
"01/07/2016","1055,2642445","86426141,63",0,0,0,0,0,13,"ANBIMA"
"04/07/2016","1055,2557141","86425442,99",0,0,0,0,0,13,"ANBIMA"
"05/07/2016","1055,247193","86424745,11",0,0,0,0,0,13,"ANBIMA"
"06/07/2016","1055,2388089","86424058,45",0,0,0,0,0,13,"ANBIMA"
"07/07/2016","1055,230186","86423352,24",0,0,0,0,0,13,"ANBIMA"
"08/07/2016","1055,2215837","86422647,71",0,0,0,0,0,13,"ANBIMA"
"11/07/2016","1055,2129807","86421943,12",0,0,0,0,0,13,"ANBIMA"
"12/07/2016","1055,2043854","86421239,17",0,0,0,0,0,13,"ANBIMA"
"13/07/2016","1055,1947717","86420451,81",0,0,0,0,0,13,"ANBIMA"
"14/07/2016","1055,1851416","86419663,1",0,0,0,0,0,13,"ANBIMA"
"15/07/2016","1055,1755201","86418875,1",0,0,0,0,0,13,"ANBIMA"
"18/07/2016","1055,1659053","86418087,65",0,0,0,0,0,13,"ANBIMA"
"19/07/2016","1055,1562981","86417300,82",0,0,0,0,0,13,"ANBIMA"
"20/07/2016","1055,1453164","86416401,42",0,0,0,0,0,13,"ANBIMA"
"21/07/2016","1055,1357245","86415615,84",0,0,0,0,0,13,"ANBIMA"
"22/07/2016","1055,1261404","86414830,9",0,0,0,0,0,13,"ANBIMA"
"25/07/2016","1055,1164482","86414037,11","-4537000,76",0,"4537000,76","4537000,76",0,14,"ANBIMA"
"26/07/2016","1055,1067274","86413240,98",0,0,0,0,0,14,"ANBIMA"
"27/07/2016","1055,0970382","86412447,43",0,0,0,0,0,14,"ANBIMA"
"28/07/2016","1055,0873312","86411652,43",0,0,0,0,0,14,"ANBIMA"
"29/07/2016","1055,0776277","86410857,71",0,0,0,0,0,14,"ANBIMA"
"01/08/2016","1055,0679871","86410068,15",0,0,0,0,0,14,"ANBIMA"
"02/08/2016","1055,0583543","86409279,22",0,0,0,0,0,14,"ANBIMA"
"03/08/2016","1055,0487307","86408491,05",0,0,0,0,0,14,"ANBIMA"
"04/08/2016","1055,0390533","86407698,47",0,0,0,0,0,14,"ANBIMA"
"05/08/2016","1055,0292894","86406898,81",0,0,0,0,0,14,"ANBIMA"
"08/08/2016","1055,019533","86406099,76",0,0,0,0,0,14,"ANBIMA"
"09/08/2016","1055,0097843","86405301,34",0,0,0,0,0,14,"ANBIMA"
"10/08/2016","1055,0000431","86404503,53",0,0,0,0,0,14,"ANBIMA"
"11/08/2016","1054,9902959","86403705,24",0,0,0,0,0,14,"ANBIMA"
"12/08/2016","1054,9805719","86402908,84",0,0,0,0,0,14,"ANBIMA"
"15/08/2016","1054,9631953","86401485,7",0,0,0,0,0,14,"ANBIMA"
"16/08/2016","1054,9531485","86400662,87",0,0,0,0,0,14,"ANBIMA"
"17/08/2016","1054,9431014","86399840,01",0,0,0,0,0,14,"ANBIMA"
"18/08/2016","1054,9330617","86399017,76",0,0,0,0,0,14,"ANBIMA"
"19/08/2016","1054,9229926","86398193,1",0,0,0,0,0,14,"ANBIMA"
"22/08/2016","1054,9129764","86397372,77",0,0,0,0,0,14,"ANBIMA"
"23/08/2016","1054,9029548",86396552,0,0,0,0,0,14,"ANBIMA"
"24/08/2016","1054,8922109","86395672,08",0,0,0,0,0,14,"ANBIMA"
"25/08/2016","1054,8817323","86394813,88",0,0,0,0,0,14,"ANBIMA"
"26/08/2016","1054,8705551","86393898,47",0,0,0,0,0,14,"ANBIMA"
"29/08/2016","1054,8600398","86393037,26","-8681498,11",0,"8681498,11","8681498,11",0,15,"ANBIMA"
"30/08/2016","1054,8499122","86392207,81",0,0,0,0,0,15,"ANBIMA"
"31/08/2016","1054,8395694","86391360,74",0,0,0,0,0,15,"ANBIMA"
"01/09/2016","1054,8293516","86390523,9",0,0,0,0,0,15,"ANBIMA"
"02/09/2016","1054,8182521","86389614,85",0,0,0,0,0,15,"ANBIMA"
"05/09/2016","1054,8075084","86388734,94",0,0,0,0,0,15,"ANBIMA"
"06/09/2016","1054,7967521",86387854,0,0,0,0,0,15,"ANBIMA"
"08/09/2016","1054,7868229","86387040,8",0,0,0,0,0,15,"ANBIMA"
"09/09/2016","1054,7763435","86386182,54",0,0,0,0,0,15,"ANBIMA"
"12/09/2016","1054,7656151","86385303,88",0,0,0,0,0,15,"ANBIMA"
"13/09/2016","1054,7550794","86384441,01",0,0,0,0,0,15,"ANBIMA"
"14/09/2016","1054,7449216","86383609,08",0,0,0,0,0,15,"ANBIMA"
"15/09/2016","1054,7347778","86382778,31",0,0,0,0,0,15,"ANBIMA"
"16/09/2016","1054,7244255","86381930,45",0,0,0,0,0,15,"ANBIMA"
"19/09/2016","1054,7136261","86381045,98",0,0,0,0,0,15,"ANBIMA"
"20/09/2016","1054,7032382","86380195,21",0,0,0,0,0,15,"ANBIMA"
"21/09/2016","1054,6928863","86379347,39",0,0,0,0,0,15,"ANBIMA"
"22/09/2016","1054,682688","86378512,15",0,0,0,0,0,15,"ANBIMA"
"23/09/2016","1054,6724647","86377674,86",0,0,0,0,0,15,"ANBIMA"
"26/09/2016","1054,6622435","86376837,75",0,0,0,0,0,15,"ANBIMA"
"27/09/2016","1054,6520605","86376003,76",0,0,0,0,0,15,"ANBIMA"
"28/09/2016","1054,6409594","86375094,58",0,0,0,0,0,15,"ANBIMA"
"29/09/2016","1054,628688","86374089,55",0,0,0,0,0,15,"ANBIMA"
"30/09/2016","1054,6171174","86373141,92",0,0,0,0,0,15,"ANBIMA"
"03/10/2016","1054,6065183","86372273,85",0,0,0,0,0,15,"ANBIMA"
"04/10/2016","1054,5960111","86371413,31",0,0,0,0,0,15,"ANBIMA"
"05/10/2016","1054,5853769","86370542,37",0,0,0,0,0,15,"ANBIMA"
"06/10/2016","1054,5742129","86369628,04",0,0,0,0,0,15,"ANBIMA"
"07/10/2016","1054,5639951","86368791,2",0,0,0,0,0,15,"ANBIMA"
"10/10/2016","1054,5536938","86367947,53",0,0,0,0,0,15,"ANBIMA"
"11/10/2016","1054,5433855","86367103,28",0,0,0,0,0,15,"ANBIMA"
"13/10/2016","1054,5330681","86366258,28",0,0,0,0,0,15,"ANBIMA"
"14/10/2016","1054,5229492","86365429,54",0,0,0,0,0,15,"ANBIMA"
"17/10/2016","1054,5056822","86364015,38",0,0,0,0,0,15,"ANBIMA"
"18/10/2016","1054,4957567","86363202,48",0,0,0,0,0,15,"ANBIMA"
"19/10/2016","1054,4858194","86362388,61",0,0,0,0,0,15,"ANBIMA"
"20/10/2016","1054,4756676","86361557,18",0,0,0,0,0,15,"ANBIMA"
"21/10/2016","1054,4651914","86360699,18",0,0,0,0,0,15,"ANBIMA"
"24/10/2016","1054,4546974","86359839,72",0,0,0,0,0,15,"ANBIMA"
"25/10/2016","1054,4442358","86358982,92",0,0,0,0,0,15,"ANBIMA"
"26/10/2016","1054,4337385","86358123,19",0,0,0,0,0,15,"ANBIMA"
"27/10/2016","1054,4168367","86356738,93",0,0,0,0,0,15,"ANBIMA"
"28/10/2016","1054,3998985","86355351,69",0,0,0,0,0,15,"ANBIMA"
"31/10/2016","1054,3821396","86353897,24",0,0,0,0,0,15,"ANBIMA"
"01/11/2016","1054,3652218","86352511,67",0,0,0,0,0,15,"ANBIMA"
"03/11/2016","1054,3483368","86351128,79",0,0,0,0,0,15,"ANBIMA"
"04/11/2016","1054,3314332","86349744,38",0,0,0,0,0,15,"ANBIMA"
"07/11/2016","1054,3145683","86348363,15",0,0,0,0,0,15,"ANBIMA"
"08/11/2016","1054,2971393","86346935,71",0,0,0,0,0,15,"ANBIMA"
"09/11/2016","1054,2800274","86345534,25",0,0,0,0,0,15,"ANBIMA"
"10/11/2016","1054,2629233","86344133,42",0,0,0,0,0,15,"ANBIMA"
"11/11/2016","1054,2457959","86342730,69",0,0,0,0,0,15,"ANBIMA"
"14/11/2016","1054,2287061","86341331,03",0,0,0,0,0,15,"ANBIMA"
