"Data","QNegs","QTíts","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"16/04/2014",1,1,900,"628,4753741","628,4753741","628,4753741","628,4753741","628,4753741"
"30/05/2014",1,49,44100,"633,35927787","633,35927787","633,35927787","633,35927787","633,35927787"
"05/06/2014",2,67,50250,"531,90094551","531,90094551","531,90094551","531,90094551","531,90094551"
"09/06/2014",1,1,750,"531,90094551","531,90094551","531,90094551","531,90094551","531,90094551"
"13/06/2014",5,222,"161263,02","515,17088777","515,17088777","515,17088777","515,17088777","515,17088777"
"16/06/2014",6,178,"129300,98","515,17088777","515,17088777","515,17088777","515,17088777","515,17088777"
"17/06/2014",2,26,"18886,66","515,17088777","515,17088777","515,17088777","515,17088777","515,17088777"
"18/06/2014",55,1079,"784424,31","515,17088777","515,16379576","515,16379576","531,19174425","515,58222451"
"20/06/2014",173,2335,"1696980,8","515,17088777","517,73110433","515,17088777","517,73110433","515,41910822"
"23/06/2014",83,1978,"1437057,54","515,17088777","515,23471589","515,17088777","524,80184089","515,24889991"
"24/06/2014",115,1753,"1274278,01","515,17088777","524,80184089","515,17088777","524,80184089","515,5254884"
"25/06/2014",136,2146,"1560560,07","515,17797979","522,68132913","515,17088777","524,78056486","515,72406476"
"26/06/2014",55,985,"716577,55","523,74513102","515,25599193","515,17088777","523,74513102","515,93682514"
"27/06/2014",12,98,"72050,07","524,75928882","515,68151268","515,68151268","524,75928882","521,40476686"
"30/06/2014",32,242,"179287,56","523,39053039","538,98586611","523,39053039","538,98586611","525,41884599"
"01/07/2014",17,115,"87112,31","551,26899078","528,35911064","528,35911064","551,26899078","542,31981885"
"02/07/2014",12,101,"76520,93","536,95031569","551,26899078","536,95031569","551,26899078","542,41289024"
"03/07/2014",21,255,"191509,79","544,10965323","536,95031569","536,95031569","551,24751276","537,68056812"
"04/07/2014",7,48,"36171,66","537,02190907","540,52998446","537,02190907","547,68932201","539,51335853"
"07/07/2014",9,89,"66823,26","551,24751276","540,52998446","537,09350244","551,24751276","537,53738137"
"08/07/2014",2,17,13056,"549,83712327","549,83712327","549,83712327","549,83712327","549,83712327"
"10/07/2014",10,65,"49799,08","544,82558699","549,82996393","544,82558699","550,55305702","548,50548648"
"11/07/2014",1,20,15360,"549,83712327","549,83712327","549,83712327","549,83712327","549,83712327"
"14/07/2014",11,74,"56941,23","551,26899078","550,19509014","549,83712327","551,26899078","550,89670523"
"15/07/2014",8,50,"38521,03","546,2574545","551,26899078","546,2574545","558,42832832","551,56968295"
"16/07/2014",15,85,"65220,96","547,76091538","565,56618785","546,32904787","565,56618785","549,34312898"
"17/07/2014",12,138,106042,"558,42832832","551,26899078","547,76091538","558,42832832","550,13781544"
"18/07/2014",8,18,"14010,09","561,284904","552,00640254","552,00640254","561,29206334","557,23987829"
"21/07/2014",2,7,"5517,97","568,44424154","561,29206334","561,29206334","568,44424154","564,3562598"
"22/07/2014",5,17,"13514,99","587,05851915","569,16733463","565,58766586","587,05851915","569,16733463"
"23/07/2014",1,10,8000,"572,7470034","572,7470034","572,7470034","572,7470034","572,7470034"
"28/07/2014",5,34,"27817,1","581,33820846","586,32826672","581,33820846","586,32826672","585,74120104"
