ano,cnpj,ativo,passivo,pl (C+D),num_cotas,cota_patr,fc_op,fc_inv,fc_fin,var_caixa (F+G+H),distrib,tx_adm,distr/fcop,distrib_min,variacao_cota,dy,rentab,rentab_report,abl (m2),area_cert (m2),props,cert_props,greenness_area,greenness_prop
2015,00332266000131,"471,807.00","-1,776.00","470,031.00","2,584.40",181.87,"29,299.00","-7,602.00","-26,194.00","-4,497.00","26,194.00",522.00,0.89,"27,834.05",-0.14,0.05,-0.09,-0.09,"57,258.00",0.00,1.00,0.00,0.00,0.00
2016,00332266000131,"463,624.00","-2,348.00","461,276.00","2,584.40",178.48,"32,325.00","-4,814.00","-29,631.00","-2,120.00","29,742.00",664.00,0.92,"30,708.75",-0.02,0.06,0.04,0.05,"57,258.00",0.00,1.00,0.00,0.00,0.00
2012,00762723000128,"79,378.00","-2,034.00","77,344.00","36,319.91",2.13,"6,842.00",0.00,"-7,778.00",-936.00,"7,778.00",149.00,1.14,"6,499.90",1.05,0.21,1.25,0.10,"45,649.90",0.00,1.00,0.00,0.00,0.00
2013,00762723000128,"134,207.00",-966.00,"133,241.00","36,319.91",3.67,"11,583.00",0.00,"-11,515.00",68.00,"11,515.00",216.00,0.99,"11,003.85",0.72,0.15,0.87,0.87,"45,649.90",0.00,1.00,0.00,0.00,0.00
2014,00762723000128,"129,548.00",-682.00,"128,866.00","36,319.91",3.55,"12,668.00",0.00,"-12,680.00",-12.00,"12,680.00",253.00,1.00,"12,034.60",-0.03,0.10,0.06,0.06,"45,649.90",0.00,1.00,0.00,0.00,0.00
2015,00762723000128,"122,374.00","-1,265.00","121,109.00","36,319.91",3.33,"13,529.00",0.00,"-13,169.00",360.00,"13,752.00",263.00,1.02,"12,852.55",-0.06,0.11,0.05,0.05,"45,649.90",0.00,1.00,0.00,0.00,0.00
2016,00762723000128,"123,561.00","-1,241.00","122,320.00","36,319.91",3.37,"13,862.00",0.00,"-14,110.00",-248.00,"12,669.00",289.00,0.91,"13,168.90",0.01,0.10,0.11,0.11,"47,588.54",0.00,1.00,0.00,0.00,0.00
2015,00868235000108,"94,363.00","-2,146.00","92,217.00","54,316.00",1.70,"6,368.00",-380.00,"-4,217.00","1,771.00","6,100.00",233.00,0.96,"6,049.60",-0.10,0.06,-0.04,-0.04,"13,449.00",0.00,2.00,0.00,0.00,0.00
2016,00868235000108,"102,613.00",-637.00,"101,976.00","54,316.00",1.88,"4,400.00",-560.00,"-5,412.00","-1,572.00","4,205.00",264.00,0.96,"4,180.00",0.11,0.05,0.15,0.16,"13,449.00",0.00,2.00,0.00,0.00,0.00
2004,01201140000190,"57,553.00","-2,201.00","55,352.00","40,000.00",1.38,"18,403.00",0.00,"-18,475.00",-72.00,"18,475.00",154.00,1.00,"17,482.85",-0.01,0.33,0.32,0.33,"32,705.92",0.00,1.00,0.00,0.00,0.00
2005,01201140000190,"57,556.00","-3,603.00","53,953.00","40,000.00",1.35,"19,570.00",0.00,"-19,529.00",41.00,"19,529.00",163.00,1.00,"18,591.50",-0.03,0.35,0.33,0.34,"30,144.91",0.00,1.00,0.00,0.00,0.00
2006,01201140000190,"56,064.00","-1,461.00","54,603.00","40,000.00",1.37,"20,128.00",0.00,"-19,613.00",515.00,"19,613.00",170.00,0.97,"19,121.60",0.01,0.36,0.38,0.55,"30,144.91",0.00,1.00,0.00,0.00,0.00
2007,01201140000190,"55,423.00","-1,729.00","53,694.00","40,000.00",1.34,"22,095.00",0.00,"-21,685.00",410.00,"21,685.00",172.00,0.98,"20,990.25",-0.02,0.40,0.38,0.40,"36,463.08",0.00,1.00,0.00,0.00,0.00
2008,01201140000190,"55,719.00","-1,405.00","54,314.00","40,000.00",1.36,"24,744.00",0.00,"-23,665.00","1,079.00","23,665.00",179.00,0.96,"23,506.80",0.01,0.44,0.45,0.46,"36,464.08",0.00,1.00,0.00,0.00,0.00
2009,01201140000190,"80,382.00","-1,488.00","78,894.00","48,655.84",1.62,"28,707.00",0.00,"-27,767.00",940.00,"27,767.00",177.00,0.97,"27,271.65",0.19,0.51,0.71,0.62,"60,008.68",0.00,2.00,0.00,0.00,0.00
2010,01201140000190,"83,572.00","-5,043.00","78,529.00","48,655.84",1.61,"32,500.00","-1,888.00","-28,792.00","1,820.00","28,792.00",249.00,0.89,"30,875.00",0.00,0.36,0.36,0.61,"60,008.68",0.00,2.00,0.00,0.00,0.00
2011,01201140000190,"177,081.00","-40,241.00","136,840.00","56,538.19",2.42,"39,480.00","-47,334.00","50,627.00","42,773.00","20,178.00",267.00,0.51,"37,506.00",0.50,0.26,0.76,0.65,"60,077.30",0.00,1.00,0.00,0.00,0.00
2012,01201140000190,"575,011.00","-23,054.00","551,957.00","61,019.17",9.05,"35,161.00","-57,735.00","-20,985.00","-43,559.00","31,814.00",298.00,0.90,"33,402.95",2.74,0.23,2.97,0.24,"69,999.72",0.00,1.00,0.00,0.00,0.00
2013,01201140000190,"670,238.00","-20,345.00","649,893.00","61,019.17",10.65,"43,784.00","-5,627.00","-40,013.00","-1,856.00","40,013.00",440.00,0.91,"41,594.80",0.18,0.07,0.25,0.29,"69,400.28",0.00,1.00,0.00,0.00,0.00
2014,01201140000190,"660,100.00","-16,212.00","643,888.00","61,019.17",10.55,"50,536.00",-434.00,"-50,115.00",-13.00,"50,115.00",507.00,0.99,"48,009.20",-0.01,0.08,0.07,0.10,"69,317.00",0.00,1.00,0.00,0.00,0.00
2015,01201140000190,"646,463.00","-12,409.00","634,054.00","61,019.17",10.39,"51,244.00",0.00,"-51,347.00",-103.00,"50,371.00",525.00,0.98,"48,681.80",-0.02,0.08,0.06,0.06,"69,687.00",0.00,1.00,0.00,0.00,0.00
2016,01201140000190,"691,940.00","-12,499.00","679,441.00","61,019.17",11.13,"57,477.00",0.00,"-54,600.00","2,877.00","48,116.00",638.00,0.84,"54,603.15",0.07,0.08,0.15,0.15,"69,999.72",0.00,1.00,0.00,0.00,0.00
2002,01235622000161,"103,031.00","-23,075.00","79,956.00",42.63,"1,875.49","-11,492.00","-1,278.00",0.00,"-12,770.00","5,890.00",80.00,NA,0.00,-0.07,0.07,0.00,0.03,,,,,0.00,0.00
