Data,Fundo,Cota,Greenness,Propriedades certificadas
2015-07-31,00332266000131,"211,2584994","0,00",0
2015-08-31,00332266000131,"211,18876","0,00",0
2015-09-30,00332266000131,"211,18876","0,00",0
2015-10-30,00332266000131,"211,1680956","0,00",0
2015-11-30,00332266000131,"182,0868471","0,00",0
2015-12-31,00332266000131,"181,8724076","0,00",0
2016-01-29,00332266000131,"181,5783469","0,00",0
2016-02-29,00332266000131,"181,5783469","0,00",0
2016-03-31,00332266000131,"181,6458333","0,00",0
2016-04-29,00332266000131,"181,5178664","0,00",0
2016-05-31,00332266000131,"181,5620554","0,00",0
2016-07-29,00332266000131,"182,0468477","0,00",0
2016-08-31,00332266000131,"182,4180908","0,00",0
2016-09-30,00332266000131,"182,9920072","0,00",0
2016-10-31,00332266000131,"183,0667689","0,00",0
2016-11-30,00332266000131,"182,7109834","0,00",0
2016-12-30,00332266000131,"178,5899377","0,00",0
2017-01-31,00332266000131,"178,4849224","0,00",0
2017-02-24,00332266000131,"178,4478197","0,00",0
2017-03-31,00332266000131,"178,8861182","0,00",0
2017-04-28,00332266000131,"179,4319545","0,00",0
2017-05-31,00332266000131,"178,8628515","0,00",0
2017-06-30,00332266000131,"178,9095607","0,00",0
2017-07-31,00332266000131,"178,11988988","0,00",0
2012-12-28,00762723000128,"1,8024744667","0,00",0
2013-01-04,00762723000128,"1,8068938496","0,00",0
2013-07-30,00762723000128,"1,9196573303","0,00",0
2013-08-06,00762723000128,"1,9334184814","0,00",0
2013-09-05,00762723000128,"1,8121557843","0,00",0
2013-10-14,00762723000128,"2,0312979496","0,00",0
2013-11-04,00762723000128,"1,983033726","0,00",0
2013-12-02,00762723000128,"2,0348704657","0,00",0
2014-01-02,00762723000128,"2,2138242966","0,00",0
2014-02-03,00762723000128,"2,2670561672","0,00",0
2014-03-05,00762723000128,"2,7408584651","0,00",0
2014-04-01,00762723000128,"2,2128512128","0,00",0
2014-05-02,00762723000128,"2,1979547696","0,00",0
2014-06-06,00762723000128,"2,3220940206","0,00",0
2014-07-01,00762723000128,"2,2725182636","0,00",0
