Ano,Fundo,Propriedade,Participacao,Greenness
2012,"12401858000147",1,0.24,123315.72
2013,"12401858000147",1,0.24,123315.72
2014,"12401858000147",1,0.24,123315.72
2015,"12401858000147",1,0.24,123315.72
2016,"12401858000147",1,0.23,119068.88
2017,"12401858000147",1,0.23,119068.88
2012,"23570871000146",1,0.00,0.00
2013,"23570871000146",1,0.00,0.00
2014,"23570871000146",1,0.00,0.00
2015,"23570871000146",1,0.47,244324.52
2016,"23570871000146",1,0.47,244324.52
2017,"23570871000146",1,0.50,262727.50
2016,"20680775000162",2,0.45,78258.75
2017,"20680775000162",2,0.45,78258.75
2017,"19419994000103",3,1.00,1270690.91
2016,"20680775000162",4,0.36,32744.14
2017,"20680775000162",4,0.36,32744.14
2016,"13966653000171",5,0.27,49754.18
2017,"13966653000171",5,0.27,49754.18
2015,"12516185000170",6,0.66,18685.41
2016,"12516185000170",6,0.66,18685.41
2017,"12516185000170",6,0.66,18685.41
2015,"19442626000186",7,1.00,265085.67
2016,"19442626000186",7,1.00,265085.67
2017,"19442626000186",7,1.00,265085.67
2014,"20680775000162",8,0.20,19719.80
2015,"20680775000162",8,0.20,19719.80
2016,"20680775000162",8,0.20,19719.80
2017,"20680775000162",8,0.20,19719.80
2015,"15296696000112",9,0.53,61888.23
2016,"15296696000112",9,0.53,61888.23
2017,"15296696000112",9,0.53,61888.23
2013,"12948291000123",10,0.44,29433.51
2014,"12948291000123",10,0.44,29433.51
2015,"12948291000123",10,0.44,29433.51
2016,"12948291000123",10,0.44,29433.51
2017,"12948291000123",10,0.44,29433.51
2014,"15799397000109",11,0.50,53885.92
2015,"15799397000109",11,0.50,53885.92
2016,"15799397000109",11,0.50,53885.92
2017,"15799397000109",11,0.50,53885.92
2015,"19267845000176",12,0.05,3350.18
2016,"19267845000176",12,0.11,6700.36
2017,"19267845000176",12,0.21,13237.90
2015,"17143998000186",13,0.90,286288.36
2016,"17143998000186",13,0.90,286288.36
2017,"17143998000186",13,0.90,286288.36
2015,"09072017000129",14,1.00,52936.20
2016,"09072017000129",14,1.00,52936.20
2017,"09072017000129",14,1.00,52936.20
2012,"17282011000104",15,0.00,0.00
2013,"17282011000104",15,0.00,0.00
2014,"17282011000104",15,0.00,0.00
2015,"17282011000104",15,0.03,5504.22
2016,"17282011000104",15,0.03,5504.22
2017,"17282011000104",15,0.03,5504.22
2013,"03683056000186",16,0.21,15090.69
2014,"03683056000186",16,0.21,15090.69
2015,"03683056000186",16,0.21,15090.69
2016,"03683056000186",16,0.21,15090.69
2017,"03683056000186",16,0.21,15090.69
2014,"12804013000100",17,1.00,23226.98
2015,"12804013000100",17,1.00,23226.98
2016,"12804013000100",17,1.00,23226.98
2017,"12804013000100",17,1.00,23226.98
2013,"23533796000143",18,0.00,0.00
2014,"23533796000143",18,0.00,0.00
2015,"23533796000143",18,1.00,68168.00
2016,"23533796000143",18,1.00,68168.00
2017,"23533796000143",18,1.00,68168.00
2013,"12323987000164",18,1.00,68168.00
2014,"12323987000164",18,1.00,68168.00
2015,"12323987000164",18,0.00,0.00
2016,"12323987000164",18,0.00,0.00
2017,"12323987000164",18,0.00,0.00
2013,"23532837000187",19,0.00,0.00
2014,"23532837000187",19,0.00,0.00
2015,"23532837000187",19,1.00,128732.90
2016,"23532837000187",19,1.00,128732.90
2017,"23532837000187",19,1.00,128732.90
